en	66107
nx	66026
er	65396
xd	62691
de	61527
ex	60661
rx	59108
ge	57869
te	57268
ei	57104
es	55947
tx	55413
ie	55175
sx	54723
in	54205
be	54205
st	53660
un	53519
nd	53181
re	52730
xa	52364
xs	51762
iq	51591
sq	51417
xg	50814
an	50626
ue	50499
se	50370
qe	50370
xu	50039
ng	49698
xb	49558
xe	49488
ne	49488
xw	49345
dx	49345
di	49345
is	48828
au	48828
ri	48442
xv	48122
xk	47791
xi	47791
em	47791
ss	47622
xh	47095
le	46821
xf	46540
qx	46444
it	46444
mx	46347
ra	46052
li	46052
et	45850
eg	45850
ae	45850
el	45539
us	45218
on	45109
gx	45109
ru	44998
ta	44886
al	44773
vo	44308
qt	44308
fe	44188
xn	43944
he	43944
xz	43694
xm	43567
si	43307
xt	43041
rt	43041
ts	42485
ti	42485
eu	42485
eh	42485
ar	42195
zu	42047
ur	42047
or	42047
ig	42047
ha	42047
at	42047
ze	41744
wi	41744
ns	41744
me	41744
la	41744
da	41744
xr	41271
rd	41271
ll	41271
ut	41109
as	40431
na	39890
nt	39703
lx	39703
kr	39703
eb	39703
we	39318
ve	39318
ka	39318
oe	38712
hr	38712
fa	38712
ed	38501
ef	38286
rs	37842
ol	37842
gs	37842
xl	37612
ir	37612
ma	37377
fr	37377
xo	37136
ag	37136
ab	37136
fx	36889
fu	36636
mi	36376
ke	36376
rl	36109
ni	36109
gr	36109
am	36109
tz	35835
tt	35835
tr	35835
uf	35553
lt	35553
ux	35264
tu	35264
ld	35264
il	35264
ah	35264
wu	34965
so	34965
no	34965
mb	34965
rn	34657
pf	34657
os	34657
ee	34657
wa	34340
ez	34340
aq	34340
xp	34012
sa	34012
om	34012
ck	34012
nn	33673
lo	33673
ix	33673
io	33673
up	33322
ro	33322
nk	33322
nz	32958
ko	32958
im	32958
rk	32581
qu	32581
ft	32581
tl	32189
mp	32189
ec	32189
uq	31781
br	31781
rg	31355
pe	31355
lu	31355
if	31355
hl	31355
ff	31355
dr	31355
zx	30910
um	30910
su	30910
kx	30910
gt	30910
af	30910
sb	30445
rr	30445
ql	30445
pr	30445
mm	30445
du	30445
xj	29957
wo	29957
qa	29957
gu	29957
bi	29957
ba	29957
ax	29957
ug	29444
oh	29444
lg	29444
kt	29444
ga	29444
ew	29444
dl	29444
zi	28904
rq	28904
rf	28904
pa	28904
fo	28904
rm	28332
rb	28332
qs	28332
qi	28332
ki	28332
ho	28332
gl	28332
ai	28332
kl	27726
ih	27726
eq	27726
sp	27081
mt	27081
hm	27081
to	26391
oq	26391
ok	26391
ob	26391
