er	71964
en	71048
ch	70981
ei	70210
in	65013
re	64027
un	63660
te	62679
ns	62470
ie	62470
ge	62364
se	62149
ue	62040
be	61299
nu	61240
ht	60752
st	60499
zw	60304
wo	60173
ul	59972
ac	59698
ss	59345
fu	58978
nd	58828
an	58442
ne	58363
dr	57958
on	57875
nf	57536
rs	57449
le	57449
ng	56913
si	56821
eb	56634
es	56540
ec	56540
ta	56444
eu	56250
it	56052
de	56052
ic	55747
sc	55643
ra	55643
el	55326
he	54998
vo	54659
na	54659
nn	54543
or	54308
fe	54188
ar	53820
eh	53694
au	53694
hs	53041
vi	52341
uf	51897
to	51897
rt	51897
ve	51744
lu	51744
la	51589
et	51589
ma	51431
hr	51271
nj	50775
ed	50775
ae	50775
nt	50604
ke	50604
nx	50431
is	50431
nv	50254
tx	50073
qu	49890
ru	49703
al	49703
ef	49512
ot	49318
ys	49120
os	49120
me	49120
ll	49120
fa	49120
we	48712
us	48712
gr	48712
ff	48712
wa	48501
ty	48286
tz	48067
sn	48067
oe	48067
nk	48067
hl	48067
ha	47842
ad	47842
tt	47612
ts	47612
ln	47612
ur	46889
sa	46636
mi	46636
ig	46636
ze	46376
vv	46376
oo	46376
am	46376
ab	46376
ye	46109
ti	46109
ri	46109
rg	45835
no	45835
eg	45835
da	45835
ck	45835
bo	45835
rn	45553
ny	45553
ua	45264
ry	45264
bi	45264
as	44965
tn	44657
sy	44657
sm	44657
pe	44657
ug	44340
em	44340
do	44340
zu	44012
yy	44012
xs	44012
tu	44012
su	44012
rk	44012
rf	44012
ni	44012
ls	44012
ku	44012
yn	43673
sx	43673
lt	43673
li	43673
du	43673
at	43673
rz	43322
rq	43322
nb	42958
mb	42958
kt	42958
js	42958
ft	42958
ww	42581
uc	42581
rj	42581
rd	42581
of	42581
ee	42581
ag	42581
xe	42189
wi	42189
tr	42189
so	42189
rx	42189
rm	42189
om	42189
od	42189
nz	42189
yd	41781
sz	41781
ld	41781
br	41781
xa	41355
tv	41355
sg	40910
lb	40910
ew	40910
yz	40445
uh	40445
ro	40445
mm	40445
hu	40445
ho	40445
xz	39957
xn	39957
uu	39957
sd	39957
rv	39957
il	39957
bm	39957
xv	39444
vj	39444
tf	39444
sv	39444
nw	39444
my	39444
jo	39444
im	39444
gs	39444
ea	39444
di	39444
ut	38904
um	38904
tm	38904
rw	38904
rc	38904
iy	38904
id	38904
cb	38904
ah	38904
rl	38332
ob	38332
if	38332
hn	38332
tg	37726
oy	37726
gu	37726
ga	37726
ey	37726
dy	37726
ba	37726
yf	37081
xb	37081
td	37081
sf	37081
pf	37081
ov	37081
ol	37081
ko	37081
kl	37081
fn	37081
fl	37081
fg	37081
tb	36391
pp	36391
ox	36391
oh	36391
mz	36391
mp	36391
lo	36391
lg	36391
jf	36391
gx	36391
fo	36391
zt	35649
xm	35649
xf	35649
tw	35649
tl	35649
tk	35649
sb	35649
rh	35649
rb	35649
pa	35649
op	35649
nl	35649
km	35649
hx	35649
hw	35649
ev	35649
aa	35649
yg	34849
oc	34849
mu	34849
ms	34849
gl	34849
fs	34849
ej	34849
bs	34849
bg	34849
af	34849
yk	33979
xd	33979
oa	33979
kr	33979
ek	33979
yw	33026
yb	33026
up	33026
ub	33026
tj	33026
oz	33026
nr	33026
mt	33026
lv	33026
ks	33026
je	33026
hi	33026
gy	33026
gt	33026
gn	33026
ex	33026
ds	33026
xt	31972
sp	31972
pl	31972
ir	31972
gv	31972
fz	31972
fx	31972
fr	31972
ez	31972
ep	31972
eo	31972
xr	30794
xq	30794
xl	30794
uz	30794
sw	30794
mx	30794
mo	30794
lz	30794
ly	30794
lf	30794
jn	30794
jk	30794
ix	30794
hf	30794
hd	30794
gz	30794
gm	30794
fv	30794
fb	30794
by	30794
bu	30794
bl	30794
ym	29459
yl	29459
ya	29459
xx	29459
xi	29459
rr	29459
rp	29459
nm	29459
jb	29459
ja	29459
hz	29459
hm	29459
fy	29459
fm	29459
dx	29459
dv	29459
dl	29459
dg	29459
df	29459
zo	27918
za	27918
yv	27918
yp	27918
xw	27918
xk	27918
sj	27918
mv	27918
mg	27918
lm	27918
lk	27918
ka	27918
jv	27918
jm	27918
iz	27918
io	27918
ib	27918
ia	27918
hv	27918
hb	27918
dn	27918
ca	27918
av	27918
yj	26094
yc	26094
tq	26094
th	26094
sk	26094
sh	26094
po	26094
og	26094
nh	26094
nc	26094
lc	26094
jl	26094
hy	26094
gk	26094
gd	26094
fp	26094
fh	26094
dw	26094
dd	26094
bt	26094
yr	23863
yo	23863
xu	23863
xg	23863
sq	23863
pr	23863
ok	23863
mn	23863
jy	23863
jx	23863
jw	23863
ju	23863
jh	23863
jd	23863
gg	23863
gb	23863
fd	23863
dz	23863
dt	23863
dj	23863
db	23863
bf	23863
bd	23863
ap	23863
yu	20986
yt	20986
yi	20986
xj	20986
xh	20986
wd	20986
tp	20986
sr	20986
pu	20986
pt	20986
ow	20986
ou	20986
nq	20986
mk	20986
mf	20986
lw	20986
jz	20986
jr	20986
jj	20986
iv	20986
iu	20986
hp	20986
hj	20986
hg	20986
gw	20986
gi	20986
gf	20986
co	20986
ce	20986
bv	20986
az	20986
zv	16931
zr	16931
zi	16931
yh	16931
xp	16931
wz	16931
ws	16931
wf	16931
uy	16931
uv	16931
sl	16931
py	16931
ph	16931
np	16931
mh	16931
md	16931
lx	16931
kv	16931
ki	16931
kb	16931
ik	16931
ii	16931
gq	16931
fk	16931
fj	16931
fi	16931
fc	16931
dm	16931
bz	16931
bb	16931
ay	16931
ak	16931
aj	16931
zs	10000
zn	10000
zl	10000
zk	10000
zd	10000
yq	10000
xy	10000
xo	10000
wv	10000
wt	10000
wr	10000
wn	10000
vm	10000
va	10000
ux	10000
uw	10000
uo	10000
uk	10000
px	10000
pi	10000
oj	10000
mw	10000
ml	10000
lp	10000
lh	10000
ky	10000
kp	10000
jt	10000
jq	10000
jp	10000
ji	10000
jg	10000
iq	10000
ih	10000
hk	10000
gh	10000
fw	10000
dq	10000
dh	10000
cz	10000
cx	10000
cu	10000
cs	10000
bw	10000
bk	10000
ax	10000
ai	10000
zz	0
zy	0
zx	0
zq	0
zp	0
zm	0
zj	0
zh	0
zg	0
zf	0
zc	0
zb	0
yx	0
xc	0
wy	0
wx	0
wu	0
wq	0
wp	0
wm	0
wl	0
wk	0
wj	0
wh	0
wg	0
wc	0
wb	0
vz	0
vy	0
vx	0
vw	0
vu	0
vt	0
vs	0
vr	0
vq	0
vp	0
vn	0
vl	0
vk	0
vh	0
vg	0
vf	0
vd	0
vc	0
vb	0
uq	0
uj	0
ui	0
ud	0
tc	0
qz	0
qy	0
qx	0
qw	0
qv	0
qt	0
qs	0
qr	0
qq	0
qp	0
qo	0
qn	0
qm	0
ql	0
qk	0
qj	0
qi	0
qh	0
qg	0
qf	0
qe	0
qd	0
qc	0
qb	0
qa	0
pz	0
pw	0
pv	0
ps	0
pq	0
pn	0
pm	0
pk	0
pj	0
pg	0
pd	0
pc	0
pb	0
oq	0
oi	0
mr	0
mq	0
mj	0
mc	0
lr	0
lq	0
lj	0
kz	0
kx	0
kw	0
kq	0
kn	0
kk	0
kj	0
kh	0
kg	0
kf	0
kd	0
kc	0
jc	0
iw	0
ip	0
ij	0
hq	0
hh	0
hc	0
gp	0
go	0
gj	0
gc	0
fq	0
eq	0
dp	0
dk	0
dc	0
cy	0
cw	0
cv	0
ct	0
cr	0
cq	0
cp	0
cn	0
cm	0
cl	0
cj	0
ci	0
cg	0
cf	0
cd	0
cc	0
bx	0
bq	0
bp	0
bn	0
bj	0
bh	0
bc	0
aw	0
aq	0
ao	0
